Month,Google Ads Spend,Google Ads Leads,Cost Per Lead,Organic Leads,Walk-ins,Phone Calls,Online Bookings,Google Reviews (New),Google Rating,Instagram Followers,TikTok Views,Website Visits,Top Keyword Ranking,Referral Leads,Total Leads,Lead to Customer %,Notes
Jan 2026,,,,,,,,,,,,,,,,,"Enter baseline"
Feb 2026,,,,,,,,,,,,,,,,,
Mar 2026,,,,,,,,,,,,,,,,,
Apr 2026,,,,,,,,,,,,,,,,,
May 2026,,,,,,,,,,,,,,,,,
Jun 2026,,,,,,,,,,,,,,,,,
Jul 2026,,,,,,,,,,,,,,,,,
Aug 2026,,,,,,,,,,,,,,,,,
Sep 2026,,,,,,,,,,,,,,,,,
Oct 2026,,,,,,,,,,,,,,,,,
Nov 2026,,,,,,,,,,,,,,,,,
Dec 2026,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
KEY METRICS TO TRACK:,,,,,,,,,,,,,,,,,
"1. Cost Per Lead = Google Ads Spend / Google Ads Leads",,,,,,,,,,,,,,,,,
"2. Total Leads = Sum of all lead sources",,,,,,,,,,,,,,,,,
"3. Track WHERE customers heard about you on intake form",,,,,,,,,,,,,,,,,
