TEAM MEMBER GOALS - Tech Guardian 2026,,,,,,,
,,,,,,,
OWNER PERSONAL GOALS,Target,Q1 Status,Q2 Status,Q3 Status,Q4 Status,Notes,
Work hours per week,50 max,,,,,,
Days off per week,1 min,,,,,,
Vacation days taken,10+,,,,,,
Books read,12,,,,,,
Certifications earned,1+,,,,,,
Time spent on repairs,%25 or less,,,,,,
1:1 meetings held,Weekly,,,,,,
,,,,,,,
TEAM MEMBER: [NAME],Target,Q1 Status,Q2 Status,Q3 Status,Q4 Status,Notes,
Repairs per week,,,,,,,
Quality score (no returns),95%+,,,,,,
Customer ratings,4.8+,,,,,,
Training completed,,,,,,,
Skills developed,,,,,,,
,,,,,,,
HIRING TRACKER,,,,,,,
Position,Status,Candidates,Interviews,Offers,Start Date,Notes
Technician 1,Open,0,0,0,,Focus: Console/PC
,,,,,,,
TEAM MEETING NOTES,,,,,,,
Date,Attendees,Topics,Action Items,Owner,Due,Status
,,,,,,,
,,,,,,,
,,,,,,,
TRAINING LOG,,,,,,,
Date,Team Member,Training Topic,Hours,Certification?,Notes,
,,,,,,,
,,,,,,,
